Add_SiGu,Add_Dong,Add_Bunji,Add_Ho,Add_Detail,Add_ZipNum,Lati,Longt,Facility,Open_year,F_Speed,SA_Voc,PSTN,Internet,TV,VoIP,BS_YN,Business_Sale
서울특별시 서초구,잠원동,142,6,롯데캐슬 프레지던트 336동 2291호,6510,37.5185,127.0034,FTTH,2025,500M,4,X,O,O,X,N,None
서울특별시 서초구,반포동,59,5,내곡휴먼빌 173동 2871호,6504,37.5067,126.9904,Ntopia,2023,500M,15,X,X,O,O,N,None
서울특별시 서초구,염곡동,152,7,반포센트럴 772동 1513호,6766,37.4611,127.038,Ntopia,2018,100M,10,X,O,O,X,Y,None
서울특별시 서초구,염곡동,178-2,4,서초로얄맨션 808동 740호,6766,37.4606,127.0399,Ntopia,2018,500M,6,X,O,O,O,N,None
서울특별시 서초구,서초동,1362,6,방배아트자이 803동 2167호,6690,37.4921,127.0211,FTTH,2020,500M,1,O,O,X,X,N,TV
서울특별시 서초구,서초동,1400,8,신원센트럴 23층,6690,37.4985,127.0218,Ntopia,2023,500M,14,X,X,X,O,N,None
서울특별시 서초구,서초동,1301-19-5,8,롯데캐슬 프레지던트 1층,6690,37.4984,127.0272,FTTH,2023,500M,4,O,X,O,O,N,None
서울특별시 서초구,우면동,717,5,양재파크뷰 2층,6762,37.4699,127.0223,FTTH,2018,100M,12,O,O,X,O,Y,TV
서울특별시 서초구,서초동,1319,6,우면스카이 322동 492호,6690,37.4968,127.0222,FTTH,2019,500M,0,X,X,O,X,N,None
서울특별시 서초구,내곡동,631,8,서초힐스 770동 767호,6800,37.4516,127.0482,FTTH,2015,500M,0,X,X,O,X,N,None
서울특별시 서초구,서초동,1461-27-2,7,방배그랑시티 421동 2947호,6690,37.4938,127.0203,FTTH,2015,1G,0,X,O,O,O,N,None
서울특별시 서초구,내곡동,635-1,2,서초그랑자이 27층,6800,37.4567,127.047,Ntopia,2021,500M,14,X,X,O,X,N,None
서울특별시 서초구,신원동,393,2,양재파크뷰 618동 2909호,6765,37.4686,127.0437,FTTH,2018,1G,6,O,X,X,X,N,None
서울특별시 서초구,양재동,262,8,롯데캐슬 프레지던트 13층,6747,37.479,127.0316,Ntopia,2025,100M,5,O,X,X,X,N,None
서울특별시 서초구,서초동,1476,4,래미안 리더스원 30층,6690,37.4938,127.024,Ntopia,2023,500M,13,O,X,X,O,N,None
서울특별시 서초구,염곡동,139-28,5,방배센트럴파크 539동 2434호,6766,37.4636,127.0322,FTTH,2025,500M,11,X,O,O,O,N,None
서울특별시 서초구,내곡동,636,5,신원로얄 30층,6800,37.4568,127.0492,FTTH,2021,500M,7,X,X,O,O,N,None
서울특별시 서초구,반포동,12월 01일,5,신원로얄 406동 1274호,6504,37.5032,126.9907,FTTH,2017,500M,4,O,O,X,X,N,TV
서울특별시 서초구,서초동,1319,7,염곡파인힐 30층,6690,37.4923,127.0208,Ntopia,2018,500M,11,O,X,X,X,N,None
서울특별시 서초구,서초동,1491,1,우면프라임 332동 2491호,6690,37.4928,127.0298,FTTH,2020,500M,15,O,X,X,X,N,None
서울특별시 서초구,우면동,739-16,4,잠원롯데캐슬 278동 2344호,6762,37.4619,127.0231,Ntopia,2019,1G,2,X,X,O,O,N,None
서울특별시 서초구,서초동,1437,5,반포자이 8층,6690,37.4953,127.0246,FTTH,2015,1G,4,O,O,X,O,N,TV
서울특별시 서초구,염곡동,152,5,방배로얄 11층,6766,37.4662,127.0387,Ntopia,2017,1G,0,X,X,O,O,N,None
서울특별시 서초구,서초동,1328,5,양재스퀘어 254동 713호,6690,37.4973,127.0267,FTTH,2023,500M,2,X,X,O,X,N,None
서울특별시 서초구,양재동,309,1,양재타워 476동 2834호,6747,37.477,127.034,FTTH,2016,10G,4,O,O,O,O,N,None
서울특별시 서초구,서초동,1456,5,삼성아파트 679동 2793호,6690,37.4905,127.029,Ntopia,2017,500M,4,O,O,O,O,N,None
서울특별시 서초구,양재동,217,3,서초로얄맨션 13층,6747,37.4754,127.0329,Ntopia,2025,500M,4,O,X,X,O,N,None
서울특별시 서초구,염곡동,151,5,우면스카이 8층,6766,37.4627,127.0336,Ntopia,2024,1G,8,X,O,O,X,N,None
서울특별시 서초구,서초동,1463,4,서초그랑자이 1층,6690,37.4952,127.0247,Ntopia,2024,1G,9,O,O,O,X,N,None
서울특별시 서초구,양재동,303,9,잠원롯데캐슬 1층,6747,37.473,127.0341,Ntopia,2018,500M,11,O,O,O,X,Y,None
서울특별시 서초구,잠원동,85,4,서초타워 174동 2204호,6510,37.5182,127.006,FTTH,2025,1G,9,O,O,O,O,N,None
서울특별시 서초구,양재동,345-30,10,삼성아파트 111동 344호,6747,37.4731,127.0394,FTTH,2020,100M,8,O,X,X,X,N,None
서울특별시 서초구,서초동,1380,10,반포리체 624동 824호,6690,37.4997,127.0232,Ntopia,2023,100M,6,X,X,X,O,N,None
서울특별시 서초구,신원동,343,5,양재스퀘어 887동 2577호,6765,37.4615,127.0459,Ntopia,2025,500M,4,O,X,X,O,N,None
서울특별시 서초구,서초동,1380-13,1,방배그랑시티 28층,6690,37.4992,127.0202,Ntopia,2025,500M,6,O,X,X,X,N,None
서울특별시 서초구,반포동,Jul-54,9,방배센트럴파크 23층,6504,37.503,126.9913,Ntopia,2025,10G,0,O,O,X,X,N,TV
서울특별시 서초구,염곡동,195,9,반포힐탑 805동 1295호,6766,37.4617,127.0329,Ntopia,2024,100M,15,O,O,X,O,N,TV
서울특별시 서초구,양재동,253,3,잠원롯데캐슬 200동 1554호,6747,37.4742,127.0316,Ntopia,2017,500M,6,X,O,O,O,N,None
서울특별시 서초구,서초동,1368,7,삼성아파트 11층,6690,37.4905,127.0223,Ntopia,2025,100M,15,O,X,X,O,N,None
서울특별시 서초구,양재동,355,7,강남오피스텔 385동 2360호,6747,37.479,127.0336,FTTH,2023,10G,13,O,X,X,X,N,None
서울특별시 서초구,서초동,1318,3,서초그랑자이 813동 1235호,6690,37.4947,127.0284,Ntopia,2019,10G,14,O,X,O,X,N,None
서울특별시 서초구,서초동,1345,10,서초타워 704동 434호,6690,37.4902,127.024,FTTH,2019,100M,2,O,O,X,X,N,TV
서울특별시 서초구,양재동,279,2,양재파크뷰 4층,6747,37.4736,127.0332,Ntopia,2017,1G,1,O,X,O,X,N,None
서울특별시 서초구,서초동,1355,7,염곡파인힐 18층,6690,37.4984,127.0237,Ntopia,2015,1G,4,O,O,O,X,N,None
서울특별시 서초구,서초동,1500,5,래미안 리더스원 22층,6690,37.4917,127.0239,FTTH,2015,100M,14,O,O,O,O,Y,None
서울특별시 서초구,잠원동,116-6,9,래미안 리더스원 19층,6510,37.5165,127.0075,FTTH,2018,500M,10,O,X,O,X,N,None
서울특별시 서초구,서초동,1381,4,방배센트럴파크 176동 793호,6690,37.4994,127.0243,Ntopia,2018,1G,5,X,O,O,X,N,None
서울특별시 서초구,서초동,1442,3,강남오피스텔 18층,6690,37.4949,127.0272,Ntopia,2025,500M,15,X,O,O,O,N,None
서울특별시 서초구,서초동,1471,5,서초로얄맨션 186동 2264호,6690,37.4951,127.0296,Ntopia,2025,100M,7,O,X,X,X,N,None
서울특별시 서초구,신원동,374-13,6,염곡파인힐 6층,6765,37.4659,127.0412,FTTH,2024,500M,4,O,X,O,O,N,None
